,moon_x,moon_y
628,-377386.6443756372,92759.83656920199
629,-377444.11084247637,92553.45374258503
630,-377501.43524833454,92347.03533024441
631,-377558.6175586288,92140.58140571689
632,-377615.6577387102,91934.09204243963
633,-377672.55575416214,91727.56731399924
634,-377729.31157033576,91521.00729393259
635,-377785.92515291413,91314.41205582627
636,-377842.39646738133,91107.7816733002
637,-377898.7254793874,90901.11621997422
638,-377954.9121546654,90694.4157695845
639,-378010.95645878237,90487.68039570114
640,-378066.8583575381,90280.9101721765
641,-378122.61781674874,90074.10517263049
642,-378178.2348022306,89867.26547091559
643,-378233.7092797669,89660.39114083437
644,-378289.0412153234,89453.48225613964
645,-378344.2305748826,89246.5388907337
646,-378399.27732432744,89039.56111848557
647,-378454.18142975663,88832.54901329758
648,-378508.9428572026,88625.50264907202
649,-378563.5615727645,88418.42209979422
650,-378618.0375425906,88211.30743943292
651,-378672.37073287985,88004.15874199006
652,-378726.56110984745,87796.9760814843
653,-378780.6086397419,87589.75953201724
654,-378834.5132888778,87382.50916764066
655,-378888.27502362063,87175.22506242304
656,-378941.89381033473,86967.90729061545
657,-378995.3696154515,86760.55592626976
658,-379048.7024054522,86553.17104363706
659,-379101.89214681817,86345.75271690215
660,-379154.93880613,86138.30102036589
661,-379207.84234995226,85930.81602819645
662,-379260.60274494893,85723.29781477792
663,-379313.21995776735,85515.74645434479
664,-379365.69395508803,85308.1620213143
665,-379418.024703725,85100.54459003733
666,-379470.2121704417,84892.89423488133
667,-379522.2563220686,84685.21103034657
668,-379574.15712551883,84477.49505078395
669,-379625.9145476062,84269.74637071039
670,-379677.5285553936,84061.96506464283
671,-379728.9991158775,83854.15120711483
672,-379780.3261960378,83646.30487267658
673,-379831.50976297073,83438.42613584506
674,-379882.54978383874,83230.51507130329
675,-379933.4462257218,83022.57175366789
676,-379984.199055932,82814.59625755552
677,-380034.80824163195,82606.58865769905
678,-380085.27375016746,82398.54902876497
679,-380135.595548784,82190.47744551943
680,-380185.7736049105,81982.37398271186
681,-380235.80788595875,81774.23871512509
682,-380285.6983593742,81566.07171759167
683,-380335.44499261875,81357.87306492758
684,-380385.04775327054,81149.64283199856
685,-380434.50660884136,80941.38109372037
686,-380483.82152702584,80733.08792497533
687,-380532.99247545213,80524.76340072893
688,-380582.01942181465,80316.40759594667
689,-380630.9023338083,80108.02058562722
690,-380679.6411793103,79899.60244475272
691,-380728.23592604854,79691.15324842144
692,-380776.6865419338,79482.6730716654
693,-380824.9929948932,79274.16198959955
694,-380873.1552528708,79065.62007737208
695,-380921.17328381067,78857.04741008137
696,-380969.0470558227,78648.44406289223
697,-381016.7765368842,78439.8101110692
698,-381064.3616951552,78231.14562981023
699,-381111.80249884544,78022.45069439647
700,-381159.09891604877,77813.72538000936
701,-381206.2509151243,77604.96976206286
702,-381253.2584642491,77396.18391582147
703,-381300.12153181544,77187.36791664937
704,-381346.8400861831,76978.52183996051
705,-381393.4140957115,76769.64576111907
706,-381439.84352892626,76560.73975557226
707,-381486.1283542369,76351.80389880054
708,-381532.26854021876,76142.83826623447
709,-381578.2640554974,75933.84293343758
710,-381624.1148685987,75724.81797590693
711,-381669.8209482807,75515.76346923919
712,-381715.38226315245,75306.67948898129
713,-381760.79878200573,75097.56611076316
714,-381806.07047364855,74888.4234102313
715,-381851.1973068562,74679.25146304897
716,-381896.179250553,74470.05034487927
717,-381941.0162736306,74260.82013145185
718,-381985.7083450468,74051.56089851288
719,-382030.25543380925,73842.27272180862
720,-382074.6575089093,73632.95567715174
721,-382118.9145395373,73423.60984032162
722,-382163.026494701,73214.23528719744
723,-382206.99334365776,73004.83209367492
724,-382250.81505556445,72795.4003355833
725,-382294.4915996953,72585.94008883495
726,-382338.02294537344,72376.45142942521
727,-382381.40906187275,72166.93443329971
728,-382424.6499186166,71957.389176487
729,-382467.74548506143,71747.81573494927
730,-382510.69573059725,71538.21418473175
731,-382553.5006247803,71328.5846019627
732,-382596.1601371504,71118.92706272058
733,-382638.6742373468,70909.24164310044
734,-382681.0428949258,70699.5284192804
